communityArea,rdNo,yCoordinate,xCoordinate,beat,iucrDescription,iucr,lastUpdated,primary,cpdDistrict,locationDesc,ward,dateOccurred,block
30,HW248063,1885147,1154862,1032,POSS: COCAINE,2022,Apr-28-2013,NARCOTICS,010,ALLEY,22,Apr-25-2013,028XX S SPAULDING AVE
26,HW248057,1898962,1149794,1122,FORCIBLE ENTRY,0610,Apr-28-2013,BURGLARY,011,RESIDENCE,28,Apr-25-2013,001XX S PULASKI RD
62,HW248055,1867707,1147928,0813,TO VEHICLE,1320,Apr-28-2013,CRIMINAL DAMAGE,008,STREET,13,Apr-25-2013,055XX S KOSTNER AVE
77,HW248069,1942282,1168514,2433,SIMPLE,0460,May-02-2013,BATTERY,024,APARTMENT,49,Apr-25-2013,063XX N SHERIDAN RD
26,HW248051,1899249,1146600,1113,POSS: HEROIN(WHITE),2024,Apr-28-2013,NARCOTICS,011,STREET,28,Apr-25-2013,044XX W MONROE ST
7,HW248061,1915927,1168941,1811,POSS: CANNABIS 30GMS OR LESS,1811,Apr-28-2013,NARCOTICS,018,COLLEGE/UNIVERSITY RESIDENCE HALL,32,Apr-25-2013,023XX N KENMORE AVE
62,HW248053,,,0822,TO VEHICLE,1320,Apr-28-2013,CRIMINAL DAMAGE,,STREET,14,Apr-25-2013,037XX W 57TH ST
43,HW248047,1860859,1188865,0332,HARASSMENT BY TELEPHONE,2825,Apr-30-2013,OTHER OFFENSE,003,APARTMENT,5,Apr-25-2013,017XX E 67TH ST
69,HW248033,1856053,1183475,0323,HARASSMENT BY TELEPHONE,2825,Apr-30-2013,OTHER OFFENSE,003,APARTMENT,6,Apr-25-2013,074XX S DREXEL AVE
68,HW248037,1866810,1175544,0711,ARMED: HANDGUN,031A,Apr-28-2013,ROBBERY,007,STREET,20,Apr-25-2013,057XX S WELLS ST
